index,count
Journal Article,8684
"Research Support, Non-U.S. Gov't",2672
Review,1174
Multicenter Study,1131
Comparative Study,1043
Case Reports,935
Comment,814
"Research Support, N.I.H., Extramural",790
Editorial,694
Randomized Controlled Trial,573
Clinical Trial,397
Letter,313
Observational Study,269
Meta-Analysis,206
Practice Guideline,185
Systematic Review,167
Evaluation Study,149
"Research Support, U.S. Gov't, P.H.S.",123
Controlled Clinical Trial,95
Video-Audio Media,69
Validation Study,67
Consensus Development Conference,61
"Research Support, U.S. Gov't, Non-P.H.S.",55
Guideline,27
News,18
English Abstract,13
Historical Article,12
Clinical Study,11
Published Erratum,11
Clinical Trial Protocol,9
Congress,9
Technical Report,8
Introductory Journal Article,8
"Clinical Trial, Phase I",7
"Clinical Trial, Phase II",7
Biography,5
"Clinical Trial, Phase III",5
Retracted Publication,4
Patient Education Handout,3
Pragmatic Clinical Trial,3
"Consensus Development Conference, NIH",2
"Clinical Trial, Phase IV",2
Clinical Conference,1
"Research Support, N.I.H., Intramural",1
Bibliography,1
Webcast,1
