Publication_date,physician_name,pub_count
1947,J Kahn,2
1948,J Kahn,1
1949,E Kahn,1
1950,E Kahn,2
1951,A Kahn,2
1952,A Kahn,2
1954,E Kahn,2
1955,A Kahn,2
1958,S Kahn,1
1959,M Kahn,4
1960,M Kahn,9
1961,D Kahn,1
1963,D Kahn,1
1964,A Kahn,3
1965,M Kahn,5
1966,M Kahn,6
1967,D Kahn,6
1968,P Kahn,1
1969,P Kahn,1
1970,E Kahn,6
1971,J Kahn,5
1972,P Kahn,7
1973,E Kahn,6
1974,O Kahn,8
1975,D Kahn,6
1976,A Kahn,4
1977,P Kahn,1
1978,P Kahn,10
1979,A Kahn,5
1980,E Kahn,3
1981,M Kahn,6
1982,A Kahn,4
1983,A Kahn,3
1984,D Kahn,9
1985,M Kahn,1
1986,A Kahn,6
1988,D Kahn,5
1989,D Kahn,6
1990,M Kahn,11
1991,M Kahn,7
1992,A Kahn,9
1993,A Kahn,3
1994,D Kahn,4
1995,R Kahn,8
1996,D Kahn,8
1997,A Kahn,5
1998,R Kahn,9
1999,N Kahn,7
2000,A Kahn,10
2001,A Kahn,5
2002,Bradley Knight,150
2003,David Cox,167
2004,Hugh Calkins,213
2005,Hugh Calkins,245
2006,Kenneth Ellenbogen,281
2007,Hugh Calkins,270
2008,Kenneth Ellenbogen,327
2009,Hugh Calkins,351
2010,Samuel Asirvatham,360
2011,Hugh Calkins,450
2012,Kenneth Ellenbogen,477
2013,Hugh Calkins,423
2014,Samuel Asirvatham,488
2015,Samuel Asirvatham,898
2016,Samuel Asirvatham,629
2017,Luigi Di Biase,641
2018,Samuel Asirvatham,705
2019,Hugh Calkins,646
2020,Dhanunjaya Lakkireddy,864
2021,Dhanunjaya Lakkireddy,774
2022,Hugh Calkins,365
